"Feeling anxious about a routine checkup tells me there must be something seriously wrong with my health.
","Duplicate of Feeling anxious about health symptoms convinces me that there must be something seriously wrong with me.
in row 189"
"When someone critiques my work, it feels like they are saying everything I do is terrible.
","Duplicate of When someone criticizes my work, it feels like they're saying everything I do is wrong or inadequate.
in row 262"
"When my partner is quiet, it feels like they're unhappy with our relationship as a whole.
","Duplicate of When my partner seems quiet, it feels like they're unhappy with me specifically.
in row 221"
"Feeling embarrassed after tripping in public convinces me that everyone now sees me as clumsy and uncoordinated.
","Duplicate of Feeling clumsy after tripping once convinces me that I'm always awkward and uncoordinated.
in row 175"
"When someone doesnâ€™t laugh at my humor, it feels like confirmation that none of them find anything funny about what I say or share.
","Duplicate of When people donâ€™t immediately laugh at my humor online, it seems like confirmation that none of them find anything funny about what I say or share.
in row 303"
"Because the audience wasn't constantly engaged during my talk, they must have found it utterly boring and pointless.
","Duplicate of Because the audience wasn't laughing constantly during my speech, they must have found it boring and uninspiring.
in row 324"
"If people arenâ€™t laughing at every joke during my presentation, then none of them think Iâ€™m funny or engaging as a speaker.
","Duplicate of If people arenâ€™t laughing at every joke during my speech, then none of them think Iâ€™m funny or engaging as a speaker.
in row 333"
"If people arenâ€™t constantly smiling at me, then they must find me unapproachable or unpleasant to be around.
","Duplicate of If people arenâ€™t constantly smiling around me, then they must find me unlikable or annoying.
in row 284"
"If my child doesn't clean their room after being asked once, then they must have no respect for me or the rules of our home.
","Duplicate of Since the kids didn't clean their room after I asked, it feels like they have no respect for me at all.
in row 190"
"The fact that I'm nervous about this first date surely indicates that we're going to have a terrible time and aren't meant to be together.
","Duplicate of Because I'm nervous about this date, it's a sign that we're going to have a terrible time together.
in row 137"
"Feeling sad after watching a romantic movie convinces me that my own love life is doomed to be unfulfilling.
","Duplicate of The sadness from watching a romantic movie convinces me that my own love life is doomed to fail.
in row 64"
"Feeling unsure about my new haircut means I must look terrible to everyone else.
","Duplicate of Feeling uncertain about my new haircut means I must look terrible to everyone else.
in row 245"
"Because I'm not the fastest runner in the group, it's obvious that I'm totally unfit.
","Duplicate of Because I'm not the fastest runner in the group, it's clear that I'm totally unfit.
in row 383"
"When my partner is quiet, it feels like they're unhappy with our relationship as a whole.
","Duplicate of When my partner seems quiet, it feels like they're unhappy with me specifically.
in row 221"
"Feeling slightly anxious about this project means it's completely beyond my abilities and I'm bound to fail.
","Duplicate of Feeling intimidated by this project means that it's completely beyond my capabilities and bound to fail.
in row 319"
"When someone critiques my driving, it feels like they're saying I'm an awful driver and shouldn't be on the road at all.
","Duplicate of When someone critiques my driving, it feels like they're saying I'm an awful driver in every way possible.
in row 407"
"My fear of heights convinces me that I am weak and cowardly in all aspects of life too.
","Duplicate of My fear of heights convinces me that I am weak and cowardly in all aspects of life.
in row 160"
"The fact that some days are less productive than others confirms that I am generally unproductive every day.
","Duplicate of The fact that some days are less productive than others proves that I am generally lazy and ineffective in life overall.
in row 492"
"Since I'm not constantly excited about my hobby, it must mean that I've lost interest and should just give it up
","Duplicate of Since I'm not constantly excited about my hobby, it must mean that I've lost interest and should just give it up.
in row 466"
"Feeling nervous about a routine doctorâ€™s visit surely indicates that the doctor will find something seriously wrong with me
","Duplicate of Feeling nervous about a routine doctorâ€™s visit surely indicates that the doctor will find something seriously wrong with me.
in row 467"
"When someone doesnâ€™t text back right away, it feels like they're intentionally ignoring me because they don't care about our conversation
","Duplicate of When someone doesnâ€™t text back right away, it feels like they're intentionally ignoring me because they don't care about our conversation.
in row 468"
"My fear of asking for feedback is proof that my work isn't good enough and everyone will think less of me for even trying
","Duplicate of My fear of asking for feedback is proof that my work isn't good enough and everyone will think less of me for even trying.
in row 469"
"Because the kids seem uninterested in the activity I planned, they must think I'm boring and can never come up with anything fun to do
","Duplicate of Because the kids seem uninterested in the activity I planned, they must think I'm boring and can never come up with anything fun to do.
in row 470"
"If people arenâ€™t constantly smiling at me, then they must find me unapproachable or unpleasant to be around
","Duplicate of If people arenâ€™t constantly smiling around me, then they must find me unlikable or annoying.
in row 284"
"The fact that some days feel more challenging than others proves life is always going to be hard for me no matter whatI do
","Duplicate of The fact that some days feel more challenging than others proves that life is always going to be hard for me no matter what I do.
in row 472"
"When someone criticizes one aspect of my work, it feels like they're saying everything I do is worthless.
","Duplicate of When someone criticizes my work, it feels like they're saying everything I do is wrong or inadequate.
in row 262"
"If people donâ€™t engage with every post I make online, then they must not care about whatâ€™s happening in my life at all.
","Duplicate of When people donâ€™t engage with every post I make online, it feels like confirmation that none of them are interested in what's happening in my life.
in row 359"
"Because my friend didn't laugh at my comment, they must think I'm completely humorless.
","Duplicate of Since my joke didn't get a laugh, everyone must think I'm completely humorless.
in row 309"
"Feeling unsure about my new haircut means I must look terrible to everyone else.
","Duplicate of Feeling uncertain about my new haircut means I must look terrible to everyone else.
in row 245"
"Because I'm not the fastest runner in the group, it's obvious that I'm totally unfit.
","Duplicate of Because I'm not the fastest runner in the group, it's clear that I'm totally unfit.
in row 383"
"When my partner is quiet, it feels like they're unhappy with our relationship as a whole.
","Duplicate of When my partner seems quiet, it feels like they're unhappy with me specifically.
in row 221"
"The fact some tasks take longer than expected proves nothing ever goes right for anyone especially myself regardless how hard we try
","Duplicate of The fact that some tasks take longer than expected proves nothing ever goes right for me or ever will.
in row 363"
"Feeling awkward when alone event convinces nobody wants befriend socially inept individuals such myself who can mingle properly without feeling place everywhere always forevermore!
","Duplicate of Feeling awkward when alone at an event convinces me nobody wants to befriend someone like myself who can't mingle properly without feeling out of place everywhere always forevermore!
in row 441"
"When someone critiques my writing, it feels like they're saying all of my work is worthless and unoriginal.
","Duplicate of When someone critiques my art, it feels like they're saying all of my work is bad and I have no talent.
in row 488"
"If others seem more knowledgeable on a topic than me, then they must think I'm ignorant or uneducated.
","Duplicate of If others seem more knowledgeable on a topic during discussion, then they must see me as ignorant or uninformed.
in row 301"
"If I can't play this song on the guitar perfectly, then I have no musical talent whatsoever.
","Duplicate of If I can't play this song perfectly on guitar, then I have no musical talent whatsoever.
in row 444"
"If people arenâ€™t constantly excited to see me, then they must find me boring or unlikable overall.
","Duplicate of If people arenâ€™t constantly smiling around me, then they must find me unlikable or annoying.
in row 284"
"Feeling awkward when someone compliments me means they're probably just being polite and don't really mean it.
","Duplicate of Feeling awkward when someone compliments me means they're probably just being insincere and don't really mean it.
in row 116"
"If people arenâ€™t constantly inviting me out, then they must not enjoy my company at all.
","Duplicate of If people arenâ€™t always asking me to hang out, then they must not enjoy my company at all.
in row 450"
"The fact that some days are less exciting than others proves that my life is boring overall.
","Duplicate of The fact that some days are less exciting than others proves that my life is dull and always will be.
in row 614"
"Since I don't feel excited every day about my relationship, we must not really be in love.
","Duplicate of Because I'm not excited every single day about my relationship, it must mean we're not truly in love.
in row 423"
"If my homemade bread doesn't turn out like the bakery's, then I must be a bad baker and shouldn't bake again.
","Duplicate of If my homemade bread doesn't turn out like the picture, then I must be a terrible baker.
in row 287"
"Since I feel nervous about this interview, they'll definitely think I'm unqualified for the job.
","Duplicate of The fact that I'm nervous about this job interview means I'm definitely not going to get the job.
in row 218"
"When someone critiques one aspect of my work, it feels like they're saying everything I do is subpar.
","Duplicate of When someone critiques one aspect of my project, it feels like they're saying the entire thing is a failure.
in row 610"
"When someone doesnâ€™t immediately smile at me, it feels like they're judging me negatively or find something wrong with my appearance.
","Duplicate of When someone doesn't immediately smile back at me, it feels like they're judging me negatively or find something wrong with my appearance.
in row 479"
"If people arenâ€™t constantly excited to see me, then they must find me boring or unlikable overall.
","Duplicate of If people arenâ€™t constantly smiling around me, then they must find me unlikable or annoying.
in row 284"
"Because I'm struggling with this level of the video game, it's clear that I'm bad at all video games.
","Duplicate of Since I'm struggling with this level of the video game, it obviously means I'm bad at all games.
in row 375"
"The fact that some days are less eventful than others proves that most days are uneventful and boring.
","Duplicate of The fact that some days are less fun than others proves life is mostly boring and uneventful for me.
in row 664"
"Feeling unsure about my ability to finish this report means I'm definitely going to miss the deadline and disappoint everyone.
","Duplicate of Feeling unsure about my ability to finish this project on time means I'm definitely going to miss the deadline and disappoint everyone.
in row 575"
"My fear of making mistakes on this project is proof that I am totally incompetent in this area of work.
","Duplicate of My fear of making mistakes on this task is proof that I am totally incompetent in this area of work.
in row 581"
